DATE,SECTOR,CNT
20250524,자율주행,1
20250525,반도체,1
20250525,6G,3
20250525,엔터,2
20250525,스마트팩토리,1
20250525,자율주행,1
20250525,화장품,1
20250526,반도체,1
20250526,6G,2
20250526,엔터,8
20250526,자율주행,2
20250526,2차 전지,2
20250526,화장품,2
20250527,6G,2
20250527,엔터,9
20250527,스마트팩토리,1
20250527,자율주행,2
20250527,2차 전지,2
20250527,화장품,3
20250528,엔터,24
20250528,자율주행,1
20250528,2차 전지,2
20250529,반도체,2
20250529,6G,3
20250529,엔터,12
20250529,2차 전지,1
20250529,화장품,2
20250530,반도체,2
20250530,6G,33
20250530,엔터,13
20250530,자율주행,2
20250530,화장품,1
20250531,반도체,1
20250531,6G,1
20250531,자율주행,1
20250601,반도체,1
20250601,6G,1
20250601,엔터,3
20250601,화장품,2
20250602,반도체,6
20250602,6G,10
20250602,엔터,17
20250602,스마트팩토리,1
20250602,자율주행,4
20250602,화장품,14
20250603,반도체,1
20250603,6G,2
20250603,엔터,1
20250603,자율주행,3
20250603,화장품,2
20250604,반도체,3
20250604,6G,8
20250604,엔터,3
20250604,스마트팩토리,1
20250604,2차 전지,2
20250604,화장품,1
20250605,반도체,7
20250605,6G,9
20250605,엔터,5
20250605,스마트팩토리,2
20250605,자율주행,5
20250605,2차 전지,1
20250605,화장품,2
20250606,6G,5
20250606,엔터,1
20250606,화장품,1
20250607,6G,2
20250607,엔터,2
20250607,스마트팩토리,2
20250607,자율주행,1
20250607,화장품,2
20250608,반도체,1
20250608,6G,2
20250608,엔터,5
20250608,자율주행,2
20250608,2차 전지,1
20250608,화장품,1
20250609,반도체,6
20250609,6G,8
20250609,엔터,13
20250609,스마트팩토리,1
20250609,자율주행,1
20250609,2차 전지,5
20250609,화장품,3
20250610,반도체,5
20250610,6G,10
20250610,엔터,14
20250610,스마트팩토리,1
20250610,자율주행,9
20250610,2차 전지,3
20250610,화장품,11
20250611,반도체,8
20250611,6G,6
20250611,엔터,10
20250611,스마트팩토리,4
20250611,자율주행,4
20250611,화장품,13
20250612,반도체,8
20250612,6G,3
20250612,엔터,7
20250612,스마트팩토리,2
20250612,자율주행,4
20250612,2차 전지,2
20250612,화장품,12
20250613,반도체,11
20250613,엔터,4
20250613,자율주행,1
20250613,화장품,3
20250614,반도체,3
20250614,6G,2
20250614,엔터,1
20250614,자율주행,1
20250615,6G,2
20250615,엔터,2
20250615,화장품,1
20250616,반도체,7
20250616,6G,5
20250616,엔터,3
20250616,스마트팩토리,2
20250616,자율주행,2
20250616,화장품,2
20250617,반도체,3
20250617,6G,19
20250617,엔터,2
20250617,자율주행,5
20250617,2차 전지,3
20250617,화장품,3
20250618,반도체,3
20250618,6G,8
20250618,엔터,5
20250618,스마트팩토리,1
20250618,자율주행,5
20250618,화장품,11
20250619,반도체,9
20250619,6G,3
20250619,엔터,8
20250619,스마트팩토리,2
20250619,자율주행,6
20250619,2차 전지,1
20250619,화장품,8
20250620,반도체,5
20250620,6G,2
20250620,엔터,16
20250620,스마트팩토리,4
20250620,자율주행,5
20250620,2차 전지,1
20250620,화장품,8
20250621,6G,2
20250621,엔터,2
20250621,스마트팩토리,1
20250621,자율주행,1
20250621,화장품,1
20250622,반도체,5
20250622,6G,3
20250622,엔터,3
20250622,스마트팩토리,2
20250622,자율주행,8
20250622,2차 전지,1
20250622,화장품,10
20250623,반도체,32
20250623,6G,7
20250623,엔터,19
20250623,스마트팩토리,8
20250623,자율주행,15
20250623,2차 전지,1
20250623,화장품,16
20250624,반도체,26
20250624,6G,11
20250624,엔터,39
20250624,스마트팩토리,10
20250624,자율주행,24
20250624,2차 전지,9
20250624,화장품,15
20250625,반도체,48
20250625,6G,13
20250625,엔터,60
20250625,스마트팩토리,30
20250625,자율주행,32
20250625,2차 전지,2
20250625,화장품,25
20250626,반도체,81
20250626,6G,34
20250626,엔터,72
20250626,스마트팩토리,19
20250626,자율주행,23
20250626,2차 전지,11
20250626,화장품,62
20250627,반도체,70
20250627,6G,29
20250627,엔터,52
20250627,스마트팩토리,12
20250627,자율주행,47
20250627,2차 전지,3
20250627,화장품,18
20250628,반도체,26
20250628,6G,10
20250628,엔터,38
20250628,스마트팩토리,5
20250628,자율주행,27
20250628,2차 전지,2
20250628,화장품,6
20250629,반도체,41
20250629,6G,2
20250629,엔터,16
20250629,스마트팩토리,3
20250629,자율주행,27
20250629,2차 전지,2
20250629,화장품,4
