DATE,SECTOR,KEYWORD,CNT
20250317,스마트팩토리,스마트팩토리,1
20250317,자율주행,라이다,1
20250318,6G,스몰셀,1
20250318,6G,6G,1
20250318,6G,5G,1
20250318,엔터,에스엠,1
20250318,엔터,JYP,6
20250318,엔터,한한령,1
20250318,스마트팩토리,스마트팩토리,3
20250318,자율주행,에스오에스랩,1
20250318,자율주행,라이다,3
20250318,화장품,아모레퍼시픽,1
20250319,6G,스타링크,1
20250319,6G,쏠리드,6
20250319,6G,6G,2
20250319,엔터,JYP,2
20250319,스마트팩토리,스마트팩토리,2
20250319,2차 전지,2차 전지,1
20250319,화장품,실리콘투,1
20250320,6G,쏠리드,1
20250320,6G,5G,1
20250320,엔터,JYP,4
20250320,엔터,K-POP,1
20250320,스마트팩토리,스마트팩토리,1
20250320,자율주행,라이다,1
20250320,2차 전지,2차 전지,1
20250320,화장품,실리콘투,1
20250321,6G,6G,1
20250321,엔터,와이지 엔터,1
20250321,엔터,한한령,3
20250323,6G,쏠리드,1
20250323,엔터,한한령,1
20250324,반도체,AMD,1
20250324,6G,6G,1
20250324,6G,5G,1
20250324,엔터,와이지 엔터,2
20250324,자율주행,라이다,1
20250324,화장품,아모레퍼시픽,1
20250325,반도체,TSMC,1
20250325,6G,6G,2
20250325,엔터,에스엠,1
20250325,스마트팩토리,스마트팩토리,1
20250326,6G,스타링크,1
20250326,엔터,JYP,1
20250326,엔터,와이지 엔터,1
20250326,스마트팩토리,스마트팩토리,1
20250326,자율주행,웨이모,1
20250326,화장품,아모레퍼시픽,1
20250327,반도체,AMD,1
20250327,6G,스타링크,2
20250327,엔터,에스엠,3
20250327,엔터,JYP,2
20250327,엔터,한한령,1
20250327,스마트팩토리,스마트팩토리,1
20250327,자율주행,에스오에스랩,1
20250327,자율주행,라이다,1
20250327,자율주행,웨이모,1
20250327,화장품,코스맥스,1
20250328,6G,스타링크,1
20250328,스마트팩토리,스마트팩토리,1
20250329,6G,스타링크,1
20250330,6G,쏠리드,1
20250330,6G,5G,1
20250330,엔터,한한령,1
20250331,6G,스타링크,1
20250331,6G,6G,1
20250331,스마트팩토리,스마트팩토리,1
20250331,화장품,실리콘투,1
20250401,6G,6G,1
20250401,스마트팩토리,아마존,1
20250401,2차 전지,2차 전지,1
20250401,화장품,아모레퍼시픽,1
20250402,엔터,에스엠,1
20250402,엔터,한한령,1
20250402,자율주행,에스오에스랩,1
20250402,자율주행,라이다,1
20250402,화장품,코스맥스,1
20250402,화장품,실리콘투,1
20250403,6G,스타링크,2
20250403,6G,5G,2
20250403,스마트팩토리,스마트팩토리,1
20250403,화장품,실리콘투,1
20250404,6G,스타링크,1
20250404,엔터,하이브,1
20250404,엔터,와이지 엔터,1
20250404,스마트팩토리,스마트팩토리,1
20250404,화장품,코스맥스,2
20250406,엔터,에스엠,1
20250406,자율주행,웨이모,1
20250407,6G,5G,1
20250407,엔터,JYP,1
20250407,자율주행,라이다,1
20250407,2차 전지,2차 전지,1
20250407,화장품,코스맥스,1
20250408,6G,케이엠더블유,1
20250408,6G,쏠리드,1
20250408,6G,RFHIC,1
20250408,6G,6G,2
20250408,엔터,와이지 엔터,1
20250408,자율주행,라이다,2
20250408,2차 전지,2차 전지,3
20250409,반도체,AMD,1
20250409,6G,스타링크,1
20250409,6G,6G,1
20250409,엔터,에스엠,1
20250409,엔터,JYP,2
20250409,스마트팩토리,아마존,1
20250409,2차 전지,2차 전지,2
20250410,6G,쏠리드,1
20250410,엔터,에스엠,1
20250410,엔터,한한령,1
20250410,스마트팩토리,스마트팩토리,1
20250410,자율주행,웨이모,1
20250411,6G,5G,1
20250411,2차 전지,2차 전지,1
20250411,화장품,실리콘투,1
20250413,화장품,실리콘투,1
20250414,엔터,한한령,1
20250414,스마트팩토리,스마트팩토리,1
20250414,자율주행,웨이모,1
20250414,2차 전지,2차 전지,1
20250415,반도체,AMD,4
20250415,6G,5G,1
20250415,엔터,JYP,1
20250415,자율주행,라이다,1
20250415,자율주행,웨이모,1
20250415,2차 전지,2차 전지,2
20250415,화장품,아모레퍼시픽,2
20250415,화장품,코스맥스,2
20250415,화장품,실리콘투,1
20250416,6G,스타링크,1
20250416,6G,RFHIC,1
20250416,자율주행,에스오에스랩,1
20250416,자율주행,라이다,1
20250416,2차 전지,2차 전지,1
20250416,화장품,코스맥스,1
20250416,화장품,실리콘투,1
20250417,반도체,AMD,3
20250417,6G,RFHIC,1
20250417,엔터,한한령,2
20250418,6G,케이엠더블유,1
20250418,엔터,한한령,2
20250420,6G,케이엠더블유,1
20250420,엔터,한한령,1
20250420,스마트팩토리,스마트팩토리,1
20250421,엔터,에스엠,1
20250421,스마트팩토리,스마트팩토리,1
20250421,자율주행,라이다,2
20250422,6G,스타링크,1
20250422,6G,RFHIC,1
20250422,6G,5G,1
20250422,스마트팩토리,스마트팩토리,1
20250422,자율주행,에스오에스랩,1
20250423,자율주행,에스오에스랩,1
20250423,자율주행,라이다,3
20250423,화장품,아모레퍼시픽,1
20250424,6G,쏠리드,1
20250424,엔터,JYP,2
20250424,자율주행,에스오에스랩,1
20250424,자율주행,라이다,1
20250424,화장품,코스맥스,1
20250425,6G,이노와이어리스,1
20250425,6G,스타링크,1
20250425,6G,쏠리드,2
20250425,엔터,하이브,1
20250425,자율주행,에스오에스랩,1
20250425,자율주행,라이다,2
20250425,화장품,아모레퍼시픽,1
20250426,6G,케이엠더블유,1
20250426,자율주행,라이다,1
20250427,6G,스타링크,2
20250427,6G,쏠리드,3
20250427,엔터,JYP,2
20250428,6G,스타링크,1
20250428,6G,쏠리드,1
20250428,6G,6G,1
20250428,엔터,와이지 엔터,1
20250428,자율주행,웨이모,1
20250428,2차 전지,2차 전지,1
20250429,6G,스타링크,2
20250429,6G,RFHIC,1
20250429,엔터,하이브,2
20250429,엔터,한한령,6
20250429,스마트팩토리,아마존,2
20250430,엔터,하이브,3
20250430,엔터,에스엠,1
20250430,엔터,한한령,2
20250430,스마트팩토리,스마트팩토리,1
20250430,자율주행,라이다,1
20250430,자율주행,웨이모,2
20250430,2차 전지,2차 전지,1
20250430,화장품,아모레퍼시픽,5
20250501,엔터,한한령,1
20250502,엔터,JYP,1
20250502,엔터,한한령,3
20250502,자율주행,라이다,2
20250502,자율주행,웨이모,2
20250502,2차 전지,2차 전지,1
20250502,화장품,아모레퍼시픽,1
20250503,2차 전지,2차 전지,1
20250503,화장품,아모레퍼시픽,1
20250504,자율주행,웨이모,1
20250504,2차 전지,2차 전지,1
20250505,6G,쏠리드,1
20250505,엔터,JYP,2
20250505,엔터,한한령,1
20250506,반도체,AMD,1
20250506,엔터,JYP,1
20250506,스마트팩토리,스마트팩토리,1
20250507,반도체,AMD,8
20250507,6G,RFHIC,3
20250507,엔터,에스엠,1
20250507,엔터,JYP,1
20250507,엔터,한한령,2
20250507,스마트팩토리,스마트팩토리,2
20250507,자율주행,라이다,2
20250507,자율주행,웨이모,2
20250507,화장품,실리콘투,1
20250508,반도체,AMD,1
20250508,6G,스타링크,2
20250508,6G,5G,1
20250508,엔터,에스엠,1
20250508,엔터,한한령,2
20250508,스마트팩토리,심보틱,1
20250508,화장품,아모레퍼시픽,1
20250509,반도체,AMD,1
20250509,6G,스타링크,1
20250509,엔터,하이브,1
20250509,엔터,에스엠,1
20250509,엔터,와이지 엔터,9
20250509,엔터,한한령,1
20250509,자율주행,라이다,1
20250510,스마트팩토리,스마트팩토리,1
20250511,6G,스타링크,2
20250511,엔터,에스엠,1
20250512,6G,6G,5
20250512,엔터,에스엠,1
20250512,엔터,JYP,1
20250512,엔터,와이지 엔터,2
20250512,자율주행,에스오에스랩,7
20250512,자율주행,웨이모,1
20250512,화장품,아모레퍼시픽,2
20250512,화장품,실리콘투,3
20250513,반도체,TSMC,1
20250513,반도체,AMD,1
